Periode;Data
1;4645
2;4704
3;4543
4;4474
5;4494
6;4463
7;4395
8;4370
9;4366
10;4447
11;4492
12;4424
13;4412
14;4331
15;4282
16;4303
17;4235
18;4263
19;4146
20;4206
21;4281
22;4154
23;4196
24;4368
25;4353
26;4218
27;4251
28;4295
29;4294
30;4269
31;4323
32;4255
33;4189
34;4588
35;4599
36;4446
37;4414
38;4443
39;4448
40;4361
41;4410
42;4317
43;4314
44;4249
45;4123
46;4069
47;4009
48;4075
49;3981
50;4064
51;4080
52;4125
53;4207
54;4029
55;4298
56;4215
57;4313
58;4249
59;4126
60;4152
61;4086
62;4122
63;3982
64;3919
65;3944
66;3801
67;3792
68;3792
69;3761
70;3793
71;3820
72;3834
73;3779
74;3777
75;3749
76;3692
77;3654
78;3658
79;3761
80;3645
81;3727
82;3676
83;3606
84;3439
85;3362
86;3335
87;3153
88;3137
89;2987
90;3008
91;3190
92;3219
93;3394
94;3270
95;3343
96;3378
97;3168
98;3047
99;3219
100;3164
101;3215
102;3137
103;3113
104;3142
105;3142
106;3096
107;3197
108;3090
109;3232
110;3349
111;3291
112;3308
113;3286
114;3215
115;3111
116;3184
117;3281
118;3128
119;3149
120;3020
121;3021
122;2967
123;2937
124;2989
125;2934
126;2964
127;2949
128;2944
129;2991
130;3016
131;3000
132;3025
133;2934
134;2940
135;2891
136;2873
137;2856
138;2814
139;2791
140;2817
141;2852
142;2806
143;2754
144;2772
145;2696
146;2649
147;2648
148;2646
149;2681
150;2616
151;2616
